2,3,4,5,6,7,8,9,10,11,12,14,15,16,19,24,26,38,
Abelmoschus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abutilon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia,43,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Acaena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthephippium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acantholepis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acca,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accara,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acer,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achillea,28,0,4,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
Achnatherum,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Achyrocline,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aconitum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acridocarpus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Acrocomia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinidia,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Ada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adansonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adenanthera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adenocarpus,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adenophora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adina,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adonis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adoxa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegilops,11,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeluropus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeonium,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerides,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aesculus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aetheorhiza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aethionema,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agapanthus,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agave,23,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Agoseris,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agropyron,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrostemma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrostis,0,0,2,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0
Aichryson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aidia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ailanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aira,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albizzia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuca,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alepis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleurites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allagopappus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alliaria,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allium,113,4,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Allocasuarina,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alnus,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alocasia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloe,86,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alopecurus,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpinia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alstonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alstroemeria,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alyssum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amana,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaranthus,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaryllis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amborella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
